Data,Cota (m),Variação (cm)
2023-01-05,19.44,6
2023-01-06,19.49,5
2023-01-07,19.54,5
2023-01-08,19.59,5
2023-01-09,19.65,6
2023-01-10,19.68,3
2023-01-11,19.71,3
2023-01-12,19.75,4
2023-01-13,19.78,3
2023-01-14,19.82,4
2023-01-15,19.86,4
2023-01-16,19.91,5
2023-01-17,19.97,6
2023-01-18,20.08,11
2023-01-19,20.17,9
2023-01-20,20.27,10
2023-01-21,20.38,11
2023-01-22,20.5,12
2023-01-23,20.62,12
2023-01-24,20.76,14
2023-01-25,20.92,16
2023-01-26,21.05,13
2023-01-27,21.18,13
2023-01-28,21.31,13
2023-01-29,21.45,14
2023-01-30,21.59,14
2023-01-31,21.7,11
2023-02-01,21.8,10
2023-02-02,21.92,12
2023-02-03,22.02,10
2023-02-04,22.13,11
2023-02-05,22.25,12
2023-02-06,22.37,12
2023-02-07,22.48,11
2023-02-08,22.57,9
2023-02-09,22.66,9
2023-02-10,22.73,7
2023-02-11,22.81,8
2023-02-12,22.9,9
2023-02-13,22.99,9
2023-02-14,23.05,6
2023-02-15,23.12,7
2023-02-16,23.18,6
2023-02-17,23.26,8
2023-02-18,23.33,7
2023-02-19,23.39,6
2023-02-20,23.45,6
2023-02-21,23.53,8
2023-02-22,23.61,8
2023-02-23,23.7,9
2023-02-24,23.75,5
2023-02-25,23.83,8
2023-02-26,23.91,8
2023-02-27,24.01,10
2023-02-28,24.1,9
2023-03-01,24.21,11
2023-03-02,24.3,9
2023-03-03,24.38,8
2023-03-04,24.46,8
2023-03-05,24.54,8
2023-03-06,24.64,10
2023-03-07,24.72,8
2023-03-08,24.82,10
2023-03-09,24.9,8
2023-03-10,24.99,9
2023-03-11,25.09,10
2023-03-12,25.19,10
2023-03-13,25.3,11
2023-03-14,25.39,9
2023-03-15,25.45,6
2023-03-16,25.49,4
2023-03-17,25.52,3
2023-03-18,25.55,3
2023-03-19,25.58,3
2023-03-20,25.62,4
2023-03-21,25.64,2
2023-03-22,25.67,3
2023-03-23,25.7,3
2023-03-24,25.72,2
2023-03-25,25.75,3
2023-03-26,25.79,4
2023-03-27,25.83,4
2023-03-28,25.87,4
2023-03-29,25.89,2
2023-03-30,25.92,3
2023-03-31,25.95,3
2023-04-01,25.98,3
2023-04-02,26.02,4
2023-04-03,26.06,4
2023-04-04,26.09,3
2023-04-05,26.1,1
2023-04-06,26.14,4
2023-04-07,26.18,4
2023-04-08,26.22,4
2023-04-09,26.25,3
2023-04-10,26.28,3
2023-04-11,26.3,2
2023-04-12,26.33,3
2023-04-13,26.38,5
2023-04-14,26.41,3
2023-04-15,26.45,4
2023-04-16,26.5,5
2023-04-17,26.55,5
2023-04-18,26.59,4
2023-04-19,26.62,3
2023-04-20,26.65,3
